,total_cases
3058,26033.0
9021,274.0
54289,1348.0
43193,138648.0
19119,579223.0
51968,10.0
58129,66909.0
40348,429280.0
18464,35.0
46803,11.0
4238,65769.0
7728,141.0
39800,2274.0
5160,40956.0
8612,191.0
41589,93582.0
18002,2506.0
52677,509.0
44872,17.0
20693,45313.0
21407,43.0
49381,67358.0
4066,80255.0
23904,1.0
31388,3004.0
14228,674.0
9003,273.0
52644,509.0
22850,8766.0
58482,1.0
16609,34015.0
59205,6292.0
14754,71003.0
42658,24322.0
8416,2254.0
53097,3411.0
14827,90.0
790,28615.0
30585,1876.0
58764,39.0
33114,144.0
55872,264944.0
11869,470.0
39102,7.0
4452,519905.0
54828,121.0
17639,15.0
41764,389717.0
3069,29271.0
37527,10.0
55897,285279.0
19666,326.0
58663,2060.0
43636,21102.0
39769,167.0
20408,295539.0
39089,1.0
28609,56174.0
34366,527.0
16996,15.0
35417,141.0
36127,50812.0
50237,3049.0
33041,12608.0
35833,7061.0
11699,1468795.0
35641,1308.0
58749,3.0
42877,307618.0
42802,68025.0
55953,330967.0
1897,45.0
27950,3860.0
57708,103877.0
22672,21.0
41164,361.0
30236,2109.0
19621,28.0
51175,79359.0
8141,94937.0
43302,11978.0
22781,7197.0
11513,50939.0
26259,24747.0
45883,101914.0
5980,2974.0
58012,1110.0
29708,52032.0
41638,395.0
47603,57933.0
5838,1199.0
5485,18.0
33501,670.0
6897,57506.0
19295,1567.0
14204,180.0
36260,442141.0
20046,3913.0
32702,27805.0
28245,1147.0
10168,50.0
19392,8409.0
13648,985.0
33148,874.0
39644,16137.0
5669,5018.0
14914,4736.0
26763,5854.0
52854,509.0
40515,6764.0
28586,39650.0
18410,32.0
2876,2.0
14884,3935.0
35406,98.0
9082,292.0
20694,45388.0
24513,478720.0
17390,1965.0
6117,47.0
4085,84349.0
6826,18609.0
32461,23.0
38095,1971.0
42554,973593.0
19068,237332.0
41464,7234.0
42272,475820.0
39215,6454.0
47494,44664.0
36781,43788.0
20841,418.0
38222,25.0
42989,21331.0
31124,533.0
40384,4.0
25940,12341.0
7954,1965.0
31266,1423.0
58369,37558410.0
1931,2758.0
8447,2581.0
20185,16.0
53249,1.0
29297,23.0
7752,144.0
5986,3055.0
42817,79151.0
1953,6034.0
46891,127.0
32880,2035.0
52994,3031.0
7362,772416.0
32811,19.0
12538,116363.0
18082,49654.0
24979,90481.0
45906,190823.0
32386,6047.0
50044,1.0
53147,3691.0
57768,15.0
46258,10386.0
